#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1#	omega_2	E_QP(omega)_2#	omega_3	E_QP(omega)_3
-10.486531	-10.566470	-10.485625	-10.566129	 -1.043031	 -0.765994	 -0.858780	 -0.754425
-10.476531	-10.575539	-10.475625	-10.575050	 -1.033031	 -0.918976	 -0.848780	 -0.807997
-10.466531	-10.583875	-10.465625	-10.583271	 -1.023031	 -0.978728	 -0.838780	 -0.995833
-10.456531	-10.591619	-10.455625	-10.590923	 -1.013031	 -1.103454	 -0.828780	 +0.033546
-10.446531	-10.598868	-10.445625	-10.598096	 -1.003031	 -1.464145	 -0.818780	 -0.505454
-10.436531	-10.605697	-10.435625	-10.604860	 -0.993031	 +0.616581	 -0.808780	 -0.586200
-10.426531	-10.612160	-10.425625	-10.611269	 -0.983031	 -0.496260	 -0.798780	 -0.620034
-10.416531	-10.618304	-10.415625	-10.617366	 -0.973031	 -0.647079	 -0.788780	 -0.639697
-10.406531	-10.624164	-10.405625	-10.623185	 -0.963031	 -0.721705	 -0.778780	 -0.653407
-10.396531	-10.629770	-10.395625	-10.628755	 -0.953031	 -0.752177	 -0.768780	 -0.664538
-10.386531	-10.635148	-10.385625	-10.634100	 -0.943031	 -0.758647	 -0.758780	 -0.676128
-10.376531	-10.640317	-10.375625	-10.639240	 -0.933031	 -0.794367	 -0.748780	 -0.710118
-10.366531	-10.645298	-10.365625	-10.644194	 -0.923031	 -0.832617	 -0.738780	 -0.661887
-10.356531	-10.650104	-10.355625	-10.648977	 -0.913031	 -0.792486	 -0.728780	 -0.676387
-10.346531	-10.654750	-10.345625	-10.653601	 -0.903031	 -0.814460	 -0.718780	 -0.683441
-10.336531	-10.659247	-10.335625	-10.658079	 -0.893031	 -0.825751	 -0.708780	 -0.688958
-10.326531	-10.663607	-10.325625	-10.662420	 -0.883031	 -0.834340	 -0.698780	 -0.694290
-10.316531	-10.667837	-10.315625	-10.666634	 -0.873031	 -0.841563	 -0.688780	 -0.701944
-10.306531	-10.671948	-10.305625	-10.670728	 -0.863031	 -0.847949	 -0.678780	 -0.668909
-10.296531	-10.675945	-10.295625	-10.674711	 -0.853031	 -0.853945	 -0.668780	 -0.695272
-10.286531	-10.679836	-10.285625	-10.678588	 -0.843031	 -0.863173	 -0.658780	 -0.700603
-10.276531	-10.683626	-10.275625	-10.682366	 -0.833031	 -0.861535	 -0.648780	 -0.704176
-10.266531	-10.687322	-10.265625	-10.686050	 -0.823031	 -0.866496	 -0.638780	 -0.707158
-10.256531	-10.690928	-10.255625	-10.689644	 -0.813031	 -0.870904	 -0.628780	 -0.709828
-10.246531	-10.694449	-10.245625	-10.693155	 -0.803031	 -0.874361	 -0.618780	 -0.712294
-10.236531	-10.697889	-10.235625	-10.696584	 -0.793031	 -0.878009	 -0.608780	 -0.714608
