#omega_0	E_QP(omega)_0#	omega_1	E_QP(omega)_1#	omega_2	E_QP(omega)_2#	omega_3	E_QP(omega)_3#	omega_4	E_QP(omega)_4#	omega_5	E_QP(omega)_5#	omega_6	E_QP(omega)_6#	omega_7	E_QP(omega)_7#	omega_8	E_QP(omega)_8
-19.881806	-19.309302	 -1.720339	 -0.558380	 -1.225824	 -0.585954	 -1.084273	 -0.421391	 -1.007197	 -0.338266	 -0.648415	 +0.129409	 -0.573150	 +0.204155	 -0.306860	 +0.508167	 -0.254995	 +0.554925
-19.871806	-19.323288	 -1.710339	 -0.598434	 -1.215824	 -0.588428	 -1.074273	 -0.424018	 -0.997197	 -0.340898	 -0.638415	 +0.129206	 -0.563150	 +0.203930	 -0.296860	 +0.507939	 -0.244995	 +0.554729
-19.861806	-19.336951	 -1.700339	 -0.637090	 -1.205824	 -0.590839	 -1.064273	 -0.426588	 -0.987197	 -0.343475	 -0.628415	 +0.129003	 -0.553150	 +0.203706	 -0.286860	 +0.507710	 -0.234995	 +0.554534
-19.851806	-19.350302	 -1.690339	 -0.670980	 -1.195824	 -0.593191	 -1.054273	 -0.429104	 -0.977197	 -0.345999	 -0.618415	 +0.128802	 -0.543150	 +0.203483	 -0.276860	 +0.507482	 -0.224995	 +0.554338
-19.841806	-19.363353	 -1.680339	 -0.701064	 -1.185824	 -0.595486	 -1.044273	 -0.431566	 -0.967197	 -0.348471	 -0.608415	 +0.128602	 -0.533150	 +0.203261	 -0.266860	 +0.507254	 -0.214995	 +0.554143
-19.831806	-19.376113	 -1.670339	 -0.728816	 -1.175824	 -0.597727	 -1.034273	 -0.433978	 -0.957197	 -0.350894	 -0.598415	 +0.128403	 -0.523150	 +0.203041	 -0.256860	 +0.507027	 -0.204995	 +0.553948
-19.821806	-19.388593	 -1.660339	 -0.754452	 -1.165824	 -0.599916	 -1.024273	 -0.436341	 -0.947197	 -0.353268	 -0.588415	 +0.128204	 -0.513150	 +0.202821	 -0.246860	 +0.506800	 -0.194995	 +0.553753
-19.811806	-19.400801	 -1.650339	 -0.778859	 -1.155824	 -0.602056	 -1.014273	 -0.438657	 -0.937197	 -0.355597	 -0.578415	 +0.128007	 -0.503150	 +0.202603	 -0.236860	 +0.506573	 -0.184995	 +0.553558
-19.801806	-19.412747	 -1.640339	 -0.803795	 -1.145824	 -0.604149	 -1.004273	 -0.440927	 -0.927197	 -0.357880	 -0.568415	 +0.127811	 -0.493150	 +0.202386	 -0.226860	 +0.506347	 -0.174995	 +0.553363
-19.791806	-19.424440	 -1.630339	 -0.837558	 -1.135824	 -0.606197	 -0.994273	 -0.443153	 -0.917197	 -0.360120	 -0.558415	 +0.127615	 -0.483150	 +0.202169	 -0.216860	 +0.506120	 -0.164995	 +0.553169
-19.781806	-19.435886	 -1.620339	 -0.710705	 -1.125824	 -0.608201	 -0.984273	 -0.445336	 -0.907197	 -0.362318	 -0.548415	 +0.127421	 -0.473150	 +0.201954	 -0.206860	 +0.505894	 -0.154995	 +0.552974
-19.771806	-19.447096	 -1.610339	 -0.821468	 -1.115824	 -0.610164	 -0.974273	 -0.447478	 -0.897197	 -0.364475	 -0.538415	 +0.127227	 -0.463150	 +0.201739	 -0.196860	 +0.505668	 -0.144995	 +0.552779
-19.761806	-19.458074	 -1.600339	 -0.846406	 -1.105824	 -0.612087	 -0.964273	 -0.449580	 -0.887197	 -0.366593	 -0.528415	 +0.127034	 -0.453150	 +0.201526	 -0.186860	 +0.505442	 -0.134995	 +0.552584
-19.751806	-19.468830	 -1.590339	 -0.864081	 -1.095824	 -0.613971	 -0.954273	 -0.451643	 -0.877197	 -0.368672	 -0.518415	 +0.126842	 -0.443150	 +0.201313	 -0.176860	 +0.505216	 -0.124995	 +0.552389
-19.741806	-19.479370	 -1.580339	 -0.879140	 -1.085824	 -0.615818	 -0.944273	 -0.453670	 -0.867197	 -0.370715	 -0.508415	 +0.126650	 -0.433150	 +0.201101	 -0.166860	 +0.504991	 -0.114995	 +0.552193
-19.731806	-19.489700	 -1.570339	 -0.892685	 -1.075824	 -0.617630	 -0.934273	 -0.455659	 -0.857197	 -0.372722	 -0.498415	 +0.126459	 -0.423150	 +0.200889	 -0.156860	 +0.504765	 -0.104995	 +0.551998
-19.721806	-19.499826	 -1.560339	 -0.905151	 -1.065824	 -0.619407	 -0.924273	 -0.457614	 -0.847197	 -0.374693	 -0.488415	 +0.126268	 -0.413150	 +0.200678	 -0.146860	 +0.504539	 -0.094995	 +0.551802
-19.711806	-19.509756	 -1.550339	 -0.916768	 -1.055824	 -0.621152	 -0.914273	 -0.459535	 -0.837197	 -0.376632	 -0.478415	 +0.126079	 -0.403150	 +0.200468	 -0.136860	 +0.504313	 -0.084995	 +0.551607
-19.701806	-19.519494	 -1.540339	 -0.927678	 -1.045824	 -0.622864	 -0.904273	 -0.461423	 -0.827197	 -0.378537	 -0.468415	 +0.125889	 -0.393150	 +0.200259	 -0.126860	 +0.504087	 -0.074995	 +0.551411
-19.691806	-19.529046	 -1.530339	 -0.937991	 -1.035824	 -0.624546	 -0.894273	 -0.463279	 -0.817197	 -0.380411	 -0.458415	 +0.125700	 -0.383150	 +0.200050	 -0.116860	 +0.503861	 -0.064995	 +0.551214
-19.681806	-19.538418	 -1.520339	 -0.947800	 -1.025824	 -0.626198	 -0.884273	 -0.465104	 -0.807197	 -0.382253	 -0.448415	 +0.125512	 -0.373150	 +0.199841	 -0.106860	 +0.503635	 -0.054995	 +0.551018
-19.671806	-19.547614	 -1.510339	 -0.957214	 -1.015824	 -0.627822	 -0.874273	 -0.466899	 -0.797197	 -0.384066	 -0.438415	 +0.125324	 -0.363150	 +0.199633	 -0.096860	 +0.503408	 -0.044995	 +0.550821
-19.661806	-19.556640	 -1.500339	 -0.966427	 -1.005824	 -0.629417	 -0.864273	 -0.468665	 -0.787197	 -0.385850	 -0.428415	 +0.125136	 -0.353150	 +0.199426	 -0.086860	 +0.503181	 -0.034995	 +0.550623
-19.651806	-19.565501	 -1.490339	 -0.976123	 -0.995824	 -0.630986	 -0.854273	 -0.470403	 -0.777197	 -0.387606	 -0.418415	 +0.124949	 -0.343150	 +0.199218	 -0.076860	 +0.502954	 -0.024995	 +0.550425
-19.641806	-19.574200	 -1.480339	 -0.997497	 -0.985824	 -0.632530	 -0.844273	 -0.472113	 -0.767197	 -0.389334	 -0.408415	 +0.124762	 -0.333150	 +0.199012	 -0.066860	 +0.502727	 -0.014995	 +0.550227
