#omega_15	E_QP(omega)_15#	omega_16	E_QP(omega)_16#	omega_17	E_QP(omega)_17#	omega_18	E_QP(omega)_18#	omega_19	E_QP(omega)_19#	omega_20	E_QP(omega)_20#	omega_21	E_QP(omega)_21#	omega_22	E_QP(omega)_22#	omega_23	E_QP(omega)_23#	omega_24	E_QP(omega)_24#	omega_25	E_QP(omega)_25
-0.675467	-0.423580	-0.624634	-0.862672	-0.596139	-0.402437	-0.596139	-0.402437	-0.507286	-0.298557	-0.507285	-0.298556	-0.247847	+0.097717	-0.247846	+0.097717	-0.182885	+0.133725	-0.150016	+0.160461	-0.150016	+0.160462
-0.665467	-0.483634	-0.614634	-1.577763	-0.586139	-0.405271	-0.586139	-0.405270	-0.497286	-0.301042	-0.497285	-0.301041	-0.237847	+0.096465	-0.237846	+0.096465	-0.172885	+0.133313	-0.140016	+0.160099	-0.140016	+0.160099
-0.655467	-0.434492	-0.604634	+1.010843	-0.576139	-0.407999	-0.576139	-0.407998	-0.487286	-0.303416	-0.487285	-0.303414	-0.227847	+0.095228	-0.227846	+0.095228	-0.162885	+0.132897	-0.130016	+0.159732	-0.130016	+0.159733
-0.645467	-0.458573	-0.594634	+0.013740	-0.566139	-0.410589	-0.566139	-0.410589	-0.477286	-0.305689	-0.477285	-0.305688	-0.217847	+0.094005	-0.217846	+0.094005	-0.152885	+0.132476	-0.120016	+0.159361	-0.120016	+0.159361
-0.635467	-0.473245	-0.584634	-0.176866	-0.556139	-0.413060	-0.556139	-0.413059	-0.467286	-0.307874	-0.467285	-0.307872	-0.207847	+0.092793	-0.207846	+0.092794	-0.142885	+0.132050	-0.110016	+0.158984	-0.110016	+0.158984
-0.625467	-0.475983	-0.574634	-0.257953	-0.546139	-0.415423	-0.546139	-0.415423	-0.457286	-0.309977	-0.457285	-0.309976	-0.197847	+0.091592	-0.197846	+0.091593	-0.132885	+0.131619	-0.100016	+0.158601	-0.100016	+0.158601
-0.615467	-0.476329	-0.564634	-0.303333	-0.536139	-0.417691	-0.536139	-0.417690	-0.447286	-0.312009	-0.447285	-0.312007	-0.187847	+0.090401	-0.187846	+0.090401	-0.122885	+0.131183	-0.090016	+0.158213	-0.090016	+0.158213
-0.605467	-0.483488	-0.554634	-0.332658	-0.526139	-0.419871	-0.526139	-0.419871	-0.437286	-0.313974	-0.437285	-0.313972	-0.177847	+0.089217	-0.177846	+0.089217	-0.112885	+0.130742	-0.080016	+0.157819	-0.080016	+0.157819
-0.595467	-0.488570	-0.544634	-0.353383	-0.516139	-0.421972	-0.516139	-0.421971	-0.427286	-0.315879	-0.427285	-0.315878	-0.167847	+0.088039	-0.167846	+0.088040	-0.102885	+0.130295	-0.070016	+0.157418	-0.070016	+0.157418
-0.585467	-0.492785	-0.534634	-0.368962	-0.506139	-0.424000	-0.506139	-0.424000	-0.417286	-0.317729	-0.417285	-0.317728	-0.157847	+0.086867	-0.157846	+0.086868	-0.092885	+0.129841	-0.060016	+0.157010	-0.060016	+0.157011
-0.575467	-0.496468	-0.524634	-0.381210	-0.496139	-0.425962	-0.496139	-0.425962	-0.407286	-0.319530	-0.407285	-0.319528	-0.147847	+0.085699	-0.147846	+0.085700	-0.082885	+0.129381	-0.050016	+0.156596	-0.050016	+0.156596
-0.565467	-0.499775	-0.514634	-0.391176	-0.486139	-0.427863	-0.486139	-0.427863	-0.397286	-0.321284	-0.397285	-0.321283	-0.137847	+0.084535	-0.137846	+0.084536	-0.072885	+0.128914	-0.040016	+0.156174	-0.040016	+0.156174
-0.555467	-0.502798	-0.504634	-0.399507	-0.476139	-0.429707	-0.476139	-0.429707	-0.387286	-0.322997	-0.387285	-0.322996	-0.127847	+0.083372	-0.127846	+0.083373	-0.062885	+0.128440	-0.030016	+0.155744	-0.030016	+0.155744
-0.545467	-0.505596	-0.494634	-0.406624	-0.466139	-0.431499	-0.466139	-0.431499	-0.377286	-0.324671	-0.377285	-0.324670	-0.117847	+0.082211	-0.117846	+0.082212	-0.052885	+0.127958	-0.020016	+0.155305	-0.020016	+0.155306
-0.535467	-0.508208	-0.484634	-0.412815	-0.456139	-0.433242	-0.456139	-0.433242	-0.367286	-0.326310	-0.367285	-0.326308	-0.107847	+0.081050	-0.107846	+0.081051	-0.042885	+0.127469	-0.010016	+0.154858	-0.010016	+0.154859
-0.525467	-0.510667	-0.474634	-0.418280	-0.446139	-0.434940	-0.446139	-0.434940	-0.357286	-0.327916	-0.357285	-0.327914	-0.097847	+0.079888	-0.097846	+0.079889	-0.032885	+0.126971	-0.000016	+0.154402	-0.000016	+0.154402
-0.515467	-0.512994	-0.464634	-0.423166	-0.436139	-0.436596	-0.436139	-0.436596	-0.347286	-0.329492	-0.347285	-0.329490	-0.087847	+0.078725	-0.087846	+0.078726	-0.022885	+0.126464	+0.009984	+0.153936	+0.009984	+0.153936
-0.505467	-0.515207	-0.454634	-0.427582	-0.426139	-0.438212	-0.426139	-0.438212	-0.337286	-0.331040	-0.337285	-0.331039	-0.077847	+0.077559	-0.077846	+0.077559	-0.012885	+0.125948	+0.019984	+0.153459	+0.019984	+0.153459
-0.495467	-0.517322	-0.444634	-0.431610	-0.416139	-0.439791	-0.416139	-0.439791	-0.327286	-0.332563	-0.327285	-0.332562	-0.067847	+0.076389	-0.067846	+0.076390	-0.002885	+0.125422	+0.029984	+0.152971	+0.029984	+0.152971
-0.485467	-0.519348	-0.434634	-0.435314	-0.406139	-0.441336	-0.406139	-0.441336	-0.317286	-0.334062	-0.317285	-0.334061	-0.057847	+0.075215	-0.057846	+0.075216	+0.007115	+0.124885	+0.039984	+0.152472	+0.039984	+0.152472
-0.475467	-0.521297	-0.424634	-0.438744	-0.396139	-0.442847	-0.396139	-0.442847	-0.307286	-0.335540	-0.307285	-0.335539	-0.047847	+0.074036	-0.047846	+0.074037	+0.017115	+0.124338	+0.049984	+0.151960	+0.049984	+0.151960
-0.465467	-0.523175	-0.414634	-0.441940	-0.386139	-0.444328	-0.386139	-0.444328	-0.297286	-0.336999	-0.297285	-0.336998	-0.037847	+0.072850	-0.037846	+0.072851	+0.027115	+0.123778	+0.059984	+0.151434	+0.059984	+0.151434
-0.455467	-0.524991	-0.404634	-0.444934	-0.376139	-0.445780	-0.376139	-0.445780	-0.287286	-0.338439	-0.287285	-0.338438	-0.027847	+0.071658	-0.027846	+0.071658	+0.037115	+0.123207	+0.069984	+0.150895	+0.069984	+0.150895
-0.445467	-0.526749	-0.394634	-0.447754	-0.366139	-0.447204	-0.366139	-0.447204	-0.277286	-0.339863	-0.277285	-0.339862	-0.017847	+0.070457	-0.017846	+0.070457	+0.047115	+0.122622	+0.079984	+0.150340	+0.079984	+0.150340
-0.435467	-0.528454	-0.384634	-0.450421	-0.356139	-0.448603	-0.356139	-0.448603	-0.267286	-0.341272	-0.267285	-0.341271	-0.007847	+0.069247	-0.007846	+0.069247	+0.057115	+0.122024	+0.089984	+0.149769	+0.089984	+0.149769
